source_id,name,country,category,layer,official,mandatory
IND-OFF-020,Invest India,India,Investment promotion,1,Official,true
IND-OFF-021,National Single Window System,India,Investment approvals,1,Official,false
IND-OFF-022,Ministry of Corporate Affairs,India,Corporate regulation,1,Official,true
IND-OFF-023,Securities and Exchange Board of India,India,Securities regulator,1,Official,true
IND-OFF-024,International Financial Services Centres Authority,India,Financial regulator,1,Official,false
IND-OFF-025,Department of Financial Services,India,Financial sector policy,1,Official,false
IND-OFF-026,Ministry of Education,India,Education policy,1,Official,true
IND-OFF-027,University Grants Commission,India,Higher education regulator,1,Official,false
IND-OFF-028,Ministry of Tourism,India,Tourism policy,1,Official,true
IND-OFF-029,Ministry of Civil Aviation,India,Aviation policy,1,Official,true
IND-OFF-030,Directorate General of Civil Aviation,India,Aviation regulator,1,Official,false
IND-OFF-031,Airports Authority of India,India,Airport operator and authority,1,Official,false
IND-OFF-032,"Ministry of Ports, Shipping and Waterways",India,Maritime policy,1,Official,true
IND-OFF-033,Indian Ports Association,India,Ports,1,Official,false
IND-OFF-034,Ministry of Defence,India,Defence policy,1,Official,true
IND-OFF-035,Defence Research and Development Organisation,India,Defence research,1,Official,false
IND-OFF-036,Ministry of New and Renewable Energy,India,Renewable energy policy,1,Official,true
IND-OFF-037,Solar Energy Corporation of India,India,Renewable energy implementation,1,Official,false
IND-OFF-038,Indian Renewable Energy Development Agency,India,Renewable finance,1,Official,false
IND-OFF-039,NITI Aayog,India,Policy institution,1,Official,true
IND-OFF-040,Ministry of Statistics and Programme Implementation,India,Official statistics,1,Official,true
IND-OFF-041,Bureau of Indian Standards,India,Standards regulator,1,Official,true
IND-OFF-042,Government e-Marketplace,India,Public procurement,1,Official,false
IND-OFF-043,Ministry of Labour and Employment,India,Labour policy,1,Official,true
IND-OFF-044,"Ministry of Environment, Forest and Climate Change",India,Environment policy,1,Official,false
IND-OFF-045,Central Pollution Control Board,India,Environmental regulator,1,Official,false
IND-OFF-046,Central Drugs Standard Control Organisation,India,Medical products regulator,1,Official,false
IND-STA-001,Guidance Tamil Nadu,India,State investment promotion,1,Official,false
IND-STA-002,Invest Karnataka,India,State investment promotion,1,Official,false
IND-STA-003,Invest Maharashtra,India,State investment promotion,1,Official,false
IND-STA-004,Invest Uttar Pradesh,India,State investment promotion,1,Official,false
IND-STA-005,iNDEXTb Gujarat,India,State investment promotion,1,Official,false
IND-STA-006,Invest Odisha,India,State investment promotion,1,Official,false
INT-001,World Trade Organization,International,Multilateral trade,2,Institutional,true
INT-002,World Bank,International,Development and economic data,2,Institutional,true
INT-003,International Monetary Fund,International,Macroeconomic institution,2,Institutional,true
INT-004,Organisation for Economic Co-operation and Development,International,Economic policy institution,2,Institutional,true
INT-005,Asian Development Bank,International,Development finance,2,Institutional,false
INT-006,UN Trade and Development,International,Trade and investment,2,Institutional,false
INT-007,International Trade Centre,International,Trade intelligence,2,Institutional,false
INT-008,World Customs Organization,International,Customs institution,2,Institutional,false
INT-009,Food and Agriculture Organization,International,Agriculture institution,2,Institutional,false
INT-010,International Energy Agency,International,Energy institution,2,Institutional,false
INT-011,International Air Transport Association,International,Aviation institution,2,Institutional,false
INT-012,International Civil Aviation Organization,International,Aviation standards,2,Institutional,false
INT-013,International Maritime Organization,International,Maritime standards,2,Institutional,false
INT-014,International Labour Organization,International,Labour standards,2,Institutional,true
INT-015,UN Comtrade,International,Trade data,2,Institutional,false
NZ-SEC-001,BusinessNZ,New Zealand,Business association,3,Non-official,false
NZ-SEC-002,ExportNZ,New Zealand,Exporter association,3,Non-official,true
NZ-SEC-003,Employers and Manufacturers Association,New Zealand,Business association,3,Non-official,false
NZ-SEC-004,DairyNZ,New Zealand,Dairy sector,3,Non-official,true
NZ-SEC-005,Dairy Companies Association of New Zealand,New Zealand,Dairy trade association,3,Non-official,true
NZ-SEC-006,Fonterra News and Media,New Zealand,Dairy company,3,Non-official,false
NZ-SEC-007,Beef + Lamb New Zealand,New Zealand,Red meat sector,3,Non-official,true
NZ-SEC-008,Meat Industry Association,New Zealand,Meat export association,3,Non-official,true
NZ-SEC-009,Horticulture New Zealand,New Zealand,Horticulture sector,3,Non-official,true
NZ-SEC-010,New Zealand Apples and Pears,New Zealand,Horticulture export association,3,Non-official,true
NZ-SEC-011,Zespri,New Zealand,Kiwifruit exporter,3,Non-official,true
NZ-SEC-012,Apiculture New Zealand,New Zealand,Honey sector,3,Non-official,true
NZ-SEC-013,Mānuka Honey Appellation Society,New Zealand,Honey standards,3,Non-official,false
NZ-SEC-014,Seafood New Zealand,New Zealand,Seafood sector,3,Non-official,true
NZ-SEC-015,Aquaculture New Zealand,New Zealand,Aquaculture sector,3,Non-official,false
NZ-SEC-016,New Zealand Winegrowers,New Zealand,Wine sector,3,Non-official,true
NZ-SEC-017,New Zealand Forest Owners Association,New Zealand,Forestry sector,3,Non-official,true
NZ-SEC-018,Wood Processors and Manufacturers Association,New Zealand,Wood processing sector,3,Non-official,false
NZ-SEC-019,Wool Impact,New Zealand,Wool sector,3,Non-official,true
NZ-SEC-020,Federated Farmers,New Zealand,Primary sector association,3,Non-official,false
NZ-SEC-021,Universities New Zealand,New Zealand,Higher education sector,3,Non-official,true
NZ-SEC-022,Tourism Industry Aotearoa,New Zealand,Tourism sector,3,Non-official,true
NZ-SEC-023,Air New Zealand Newsroom,New Zealand,Aviation company,3,Non-official,true
NZ-SEC-024,NZTech,New Zealand,Technology sector,3,Non-official,true
NZ-SEC-025,Payments New Zealand,New Zealand,Payments sector,3,Non-official,true
NZ-SEC-026,India New Zealand Business Council,New Zealand,Bilateral institution,3,Non-official,true
NZ-SEC-027,Asia New Zealand Foundation,New Zealand,Research and bilateral context,3,Institutional,false
IND-SEC-001,Federation of Indian Export Organisations,India,Exporter association,3,Non-official,true
IND-SEC-002,Confederation of Indian Industry,India,Industry association,3,Non-official,true
IND-SEC-003,Federation of Indian Chambers of Commerce and Industry,India,Business association,3,Non-official,true
IND-SEC-004,ASSOCHAM,India,Business association,3,Non-official,false
IND-SEC-005,NASSCOM,India,Technology sector,3,Non-official,true
IND-SEC-006,Engineering Export Promotion Council India,India,Engineering exports,3,Non-official,true
IND-SEC-007,Services Export Promotion Council,India,Services exports,3,Non-official,true
IND-SEC-008,Confederation of Indian Textile Industry,India,Textiles association,3,Non-official,true
IND-SEC-009,Bharat Tex,India,Textiles trade platform,3,Non-official,true
IND-SEC-010,Apparel Export Promotion Council,India,Apparel exports,3,Non-official,false
IND-SEC-011,The Cotton Textiles Export Promotion Council,India,Textiles exports,3,Non-official,false
IND-SEC-012,National Payments Corporation of India,India,Payments infrastructure,3,Institutional,true
IND-SEC-013,Society of Indian Defence Manufacturers,India,Defence industry,3,Non-official,false
IND-SEC-014,Indian National Shipowners' Association,India,Shipping association,3,Non-official,false
IND-SEC-015,Indian Association of Tour Operators,India,Tourism association,3,Non-official,false
NZ-MED-001,New Zealand Herald,New Zealand,Media,4,Non-official,true
NZ-MED-002,RNZ,New Zealand,Media,4,Public media,true
NZ-MED-003,1News,New Zealand,Media,4,Public media,true
NZ-MED-004,Stuff,New Zealand,Media,4,Non-official,true
NZ-MED-005,Newsroom,New Zealand,Media,4,Non-official,true
NZ-MED-006,BusinessDesk,New Zealand,Business media,4,Non-official,true
NZ-MED-007,National Business Review,New Zealand,Business media,4,Non-official,true
NZ-MED-008,Newstalk ZB,New Zealand,Media,4,Non-official,true
NZ-MED-009,interest.co.nz,New Zealand,Financial media,4,Non-official,true
NZ-MED-010,Rural News Group,New Zealand,Rural media,4,Non-official,true
NZ-MED-011,Farmers Weekly,New Zealand,Rural media,4,Non-official,true
NZ-MED-012,Indian Newslink,New Zealand,New Zealand Indian media,4,Non-official,true
NZ-MED-013,Indian Weekender,New Zealand,New Zealand Indian media,4,Non-official,true
NZ-MED-014,Awaaz,New Zealand,New Zealand Indian media,4,Non-official,true
IND-MED-001,The Economic Times,India,Business media,4,Non-official,true
IND-MED-002,Business Standard,India,Business media,4,Non-official,true
IND-MED-003,Financial Express,India,Business media,4,Non-official,true
IND-MED-004,The Hindu BusinessLine,India,Business media,4,Non-official,true
IND-MED-005,Mint,India,Business media,4,Non-official,true
IND-MED-006,Moneycontrol,India,Business media,4,Non-official,true
IND-MED-007,The Hindu,India,Media,4,Non-official,false
IND-MED-008,The Indian Express,India,Media,4,Non-official,false
IND-MED-009,CNBC-TV18,India,Business media,4,Non-official,false
IND-MED-010,Business Today India,India,Business media,4,Non-official,false
GLB-MED-001,Reuters,International,Global media,4,Non-official,true
GLB-MED-002,Bloomberg,International,Global business media,4,Non-official,false
GLB-MED-003,Financial Times,International,Global business media,4,Non-official,false
GLB-MED-004,Nikkei Asia,International,Asia business media,4,Non-official,false
GLB-MED-005,S&P Global Market Intelligence,International,Market intelligence,4,Non-official,false
